ChildID;Gender;Age in months;CR;Language;corpus;Syllable complexity;Age_centered_overA1;Age_centered_overA2;;A1 = Global Average;A2 = Average noCychosz noSeedlings >50mo
1_CW4_CH4_AJ10_AJ21_190715_1_periodic_non-native-NM.eaf;M;24;0.487179487;Avasö;Solomon;Low;1.9383351;6.05;;22.06166492;17.948411
1_CW2_CH2_AJ07_AJ07_190630_1_periodic_non-native-NM.eaf;M;36;0.753846154;Babatana;Solomon;Low;13.9383351;18.05;;;
26Seedlings;M;7;0.325842697;English;Seedlings;High;-15.0616649;-10.95;;;
36Seedlings;F;7;0.125;English;Seedlings;High;-15.0616649;-10.95;;;
04Seedlings;M;8;0.253164557;English;Seedlings;High;-14.0616649;-9.95;;;
44Seedlings;F;9;0.362068966;English;Seedlings;High;-13.0616649;-8.95;;;
28Seedlings;F;10;0.235294118;English;Seedlings;High;-12.0616649;-7.95;;;
08Seedlings;F;12;0.333333333;English;Seedlings;High;-10.0616649;-5.95;;;
14Seedlings;F;13;0.40952381;English;Seedlings;High;-9.0616649;-4.95;;;
11Seedlings;M;14;0.431034483;English;Seedlings;High;-8.0616649;-3.95;;;
43Seedlings;F;15;0.210526316;English;Seedlings;High;-7.0616649;-2.95;;;
09Seedlings;M;17;0.267241379;English;Seedlings;High;-5.0616649;-0.95;;;
274Warlaumont;F;3;0.661538462;English & Spanish;Warlaumont;High;-19.0616649;;;;
340Warlaumont;F;3;0.5;English & Spanish;Warlaumont;High;-19.0616649;;;;
857Warlaumont;M;3;0.631578947;English & Spanish;Warlaumont;High;-19.0616649;;;;
01_CW04_CH04_FB04_FB34_190625_periodic_non-native-NM.eaf;M;12;0.344827586;Marovo;Solomon;Low;-10.0616649;-5.95;;;
114Cychosz;M;22;0.41025641;Quechua;Cychosz;;-0.0616649;;;;
105Cychosz;M;23;0.586666667;Quechua;Cychosz;;0.9383351;;;;
117Cychosz;M;25;0.484375;Quechua;Cychosz;;2.9383351;;;;
