ChildID;Gender;Age in months;CR;CR Adults;Language;corpus;Syllable complexity;C_count;V_count;Multinlingualism_likelihood
1_CW1_CH1_AJ09_AJ21_190710_1_periodic_non-native-NK.eaf;M;48;0,512195122;0,899280576;Avaso;Solomon;Low;;;Y
1_CW4_CH4_AJ10_AJ21_190715_1_periodic_non-native-NM.eaf;M;24;0,487179487;0,903225807;Avasö;Solomon;Low;;;Y
1_CW4_CH4_AJ11_AJ04_190718_periodic_non-native-NK.eaf;F;17;0,368421053;0,948051948;Avasu;Solomon;Low;;;Y
1_CW2_CH2_AJ07_AJ07_190630_1_periodic_non-native-NM.eaf;M;36;0,753846154;0,906862745;Babatana;Solomon;Low;17;5;Y
1_CW3_CH3_AJ08_AJ13_190704_periodic_non-native-NK.eaf;M;24;0,481927711;0,926829268;Babatana and Senga;Solomon;Low;17;5;Y
26Seedlings;M;7;0,325842697;;English;Seedlings;High;24;13;N
36Seedlings;F;7;0,125;;English;Seedlings;High;24;13;N
04Seedlings;M;8;0,253164557;;English;Seedlings;High;24;13;N
44Seedlings;F;9;0,362068966;;English;Seedlings;High;24;13;N
28Seedlings;F;10;0,235294118;;English;Seedlings;High;24;13;N
08Seedlings;F;12;0,333333333;;English;Seedlings;High;24;13;N
14Seedlings;F;13;0,40952381;;English;Seedlings;High;24;13;N
11Seedlings;M;14;0,431034483;;English;Seedlings;High;24;13;N
43Seedlings;F;15;0,210526316;;English;Seedlings;High;24;13;N
09Seedlings;M;17;0,267241379;;English;Seedlings;High;24;13;N
274Warlaumont;F;3;0,661538462;;English & Spanish;Warlaumont;High;24;13;Y
340Warlaumont;F;3;0,5;;English & Spanish;Warlaumont;High;24;13;Y
857Warlaumont;M;3;0,631578947;;English & Spanish;Warlaumont;High;24;13;Y
GAL_000225_periodic_non-native-NK.eaf;NA;2;0,32;0,972727273;French;French;High;21;17;N
e20200226_105144_013099random_native.eaf-LML.eaf;NA;11,14508334;0;0,981132076;French;French;High;21;17;N
e20200220_153526_008232random_native.eaf-LML.eaf;NA;11,44097051;0,382978723;0,933333333;French;French;High;21;17;N
e20200304_111401_013098random_native-LML.eaf;NA;11,57247592;0,375;0,970588235;French;French;High;21;17;N
