"","ITS","CR","Language","Age","ChildID","corpus","Syllable.complexity","C_count","V_count","Multinlingualism_likelihood"
"1","e20170707_092123_013098",0.358208955223881,"Tsimane",32.5333333333333,"597AF93B000332AR_976","Tsimane","Moderate",25,18,"Y"
"137","e20170709_154406_009458",0.219512195121951,"Tsimane",31.7333333333333,"5D039E9E000024F2_952","Tsimane","Moderate",25,18,"Y"
"306","e20170709_154812_013104",0.544303797468354,"Tsimane",36.5333333333333,"5D0766F700003330_1096","Tsimane","Moderate",25,18,"Y"
"437","e20170713_094014_013103",0.447368421052632,"Tsimane",39.0666666666667,"5D0272F80000332F_1172","Tsimane","Moderate",25,18,"Y"
"548","e20170714_181600_009456",0.391891891891892,"Tsimane",54.7,"5D039EF6000024F0_1641","Tsimane","Moderate",25,18,"Y"
"683","e20170714_182140_013097",0.526315789473684,"Tsimane",59.7,"5D07674200003329_1791","Tsimane","Moderate",25,18,"Y"
"819","e20170714_182445_013098",0.469879518072289,"Tsimane",24.3666666666667,"5D02736D0000332A_731","Tsimane","Moderate",25,18,"Y"
"967","e20170714_182735_013104",0.26,"Tsimane",30.5666666666667,"597AF778000332AR_917","Tsimane","Moderate",25,18,"Y"
"1131","e20170714_183036_013099",0.188679245283019,"Tsimane",19.7333333333333,"5D039F8B0000332B_592","Tsimane","Moderate",25,18,"Y"
"1271","e20170714_183253_013101",0.439024390243902,"Tsimane",37,"5D03A01A0000332D_1110","Tsimane","Moderate",25,18,"Y"
"1401","e20170714_183531_013102",0.495049504950495,"Tsimane",51.9,"5D03A0FF0000332E_1557","Tsimane","Moderate",25,18,"Y"
"1540","e20170722_092028_013102",0.307692307692308,"Tsimane",8.2,"597AF8BB000332AR_246","Tsimane","Moderate",25,18,"Y"
"1665","e20170722_092350_009458",0.354838709677419,"Tsimane",15.4666666666667,"5D02755C000024F2_464","Tsimane","Moderate",25,18,"Y"
"1802","e20170722_092639_013097",0.420289855072464,"Tsimane",33.0333333333333,"597AF93B000332AR_991","Tsimane","Moderate",25,18,"Y"
"1920","e20170722_092844_013104",0.444444444444444,"Tsimane",30.8333333333333,"597AF778000332AR_925","Tsimane","Moderate",25,18,"Y"
"2047","e20170722_093015_009456",0.460674157303371,"Tsimane",54.9666666666667,"5D039EF6000024F0_1649","Tsimane","Moderate",25,18,"Y"
"2182","e20170722_093231_013098",0.306666666666667,"Tsimane",24.6333333333333,"5D02736D0000332A_739","Tsimane","Moderate",25,18,"Y"
"2324","e20180717_134815_013101",0.53030303030303,"Tsimane",49.1,"5D0767F5000024F0_1473","Tsimane","Moderate",25,18,"Y"
"2479","e20180718_152602_013097",0.280701754385965,"Tsimane",20.0333333333333,"5BCE004100003329_601","Tsimane","Moderate",25,18,"Y"
"2608","e20180722_213859_009456",0.433333333333333,"Tsimane",49.2666666666667,"5D0767F5000024F0_1478","Tsimane","Moderate",25,18,"Y"
"2718","e20180722_230020_013103",0.683168316831683,"Tsimane",60.4666666666667,"5D0768840000332F_1814","Tsimane","Moderate",25,18,"Y"
"2855","e20180723_033428_013097",0.5625,"Tsimane",71.9333333333333,"5D07692500003329_2158","Tsimane","Moderate",25,18,"Y"
"2974","e20180723_090451_013104",0.583333333333333,"Tsimane",60.5,"5D0768840000332F_1815","Tsimane","Moderate",25,18,"Y"
"3132","e20180723_173623_013101",0.261538461538462,"Tsimane",15.4333333333333,"5BCE00DD0000332D_463","Tsimane","Moderate",25,18,"Y"
"3253","e20180727_171759_013102",0.340909090909091,"Tsimane",44.5,"5D039E9E000024F2_1335","Tsimane","Moderate",25,18,"Y"
"3353","e20180728_080318_013104",0.580645161290323,"Tsimane",67.3333333333333,"5D039EF6000024F0_2020","Tsimane","Moderate",25,18,"Y"
"3468","e20180728_111435_013097",0.220779220779221,"Tsimane",18.3333333333333,"5C41DED300003329_550","Tsimane","Moderate",25,18,"Y"
"3603","e20190925_082312_008232",0.623853211009174,"Tsimane",63.2666666666667,"5DF3D4DA00002028_1898","Tsimane","Moderate",25,18,"Y"
"3735","e20190925_082635_013099",0.659722222222222,"Tsimane",68.3333333333333,"5DF3D5BB00002028_2050","Tsimane","Moderate",25,18,"Y"
"3906","e20190927_190034_008232",0.351063829787234,"Tsimane",41.8,"5DB1F71B0002028R_1254","Tsimane","Moderate",25,18,"Y"
"4049","e20191023_210456_013099",0.468085106382979,"Tsimane",28.3333333333333,"5DB0A38F000332FR_850","Tsimane","Moderate",25,18,"Y"
"4205","e20191024_000253_008232",0.480769230769231,"Tsimane",21.7666666666667,"5DB0A3B8000332FR_653","Tsimane","Moderate",25,18,"Y"
